variavel,media_usa,media_nao_usa,smd,abs_smd,n_usa,n_nao_usa
mental_disorder_diagnosis,1.1134020618556701,1.7656903765690377,-1.7378858832374766,1.7378858832374766,97,239
mental_disorders___1,0.7319587628865979,0.16317991631799164,1.3889918194927118,1.3889918194927118,97,239
mental_disorders___2,0.5670103092783505,0.11715481171548117,1.0724058531614307,1.0724058531614307,97,239
sedatives_score,1.6388888888888888,0.5224719101123596,0.6473890330450981,0.6473890330450981,72,178
sedatives_1,1.7083333333333333,0.8044692737430168,0.6380259128684691,0.6380259128684691,72,179
asrs_18,1.967741935483871,1.3174603174603174,0.5810684654872394,0.5810684654872394,62,126
have_bad_dreams,1.8529411764705883,1.302857142857143,0.530537867379167,0.530537867379167,68,175
score_asrs18,0.6290322580645161,0.373015873015873,0.5264873500792407,0.5264873500792407,62,126
mental_disorders___8,0.20618556701030927,0.04184100418410042,0.5125307566365583,0.5125307566365583,97,239
risco_sui_class,0.7525773195876289,0.5188284518828452,0.49901319446086195,0.49901319446086195,97,239
more_drugs,0.328125,0.12571428571428572,0.4949374323989154,0.4949374323989154,64,175
mental_disorders___3,0.15463917525773196,0.02092050209205021,0.48400446619622034,0.48400446619622034,97,239
class_assist_sedatives,0.16494845360824742,0.03879310344827586,0.42451665633859864,0.42451665633859864,97,232
mental_disorders___4,0.1134020618556701,0.012552301255230125,0.42234617385238954,0.42234617385238954,97,239
mental_disorders___6,0.1134020618556701,0.016736401673640166,0.3977728032510769,0.3977728032510769,97,239
to_sleep,1.3505154639175259,1.8865546218487395,-0.3976503631950279,0.3976503631950279,97,238
smile_17,2.154639175257732,1.7941176470588236,0.3714978626790079,0.3714978626790079,97,238
score_suic,2.7010309278350517,1.8326359832635983,0.36464690334134975,0.36464690334134975,97,239
hurt_yourself,1.556701030927835,1.0669456066945606,0.3465171260885463,0.3465171260885463,97,239
hurting_yourself,1.1443298969072164,0.7656903765690377,0.3426372152626027,0.3426372152626027,97,239
psqi_score,11.344262295081966,9.676829268292684,0.3404732719304237,0.3404732719304237,61,164
age,21.47422680412371,20.205020920502093,0.33970379716781873,0.33970379716781873,97,239
ethnic_group,1.2421052631578948,1.5188284518828452,-0.33776277279865485,0.33776277279865485,95,239
score_asrs8,0.7741935483870968,0.8968253968253969,-0.3331737709403403,0.3331737709403403,62,126
score_pa_smile,6.257731958762887,7.050632911392405,-0.3284008823247715,0.3284008823247715,97,237
mental_disorders___9,0.09278350515463918,0.02092050209205021,0.31271331000874075,0.31271331000874075,97,239
smile_15,2.556701030927835,2.903765690376569,-0.3112184030467501,0.3112184030467501,97,239
