variavel,importancia_permutacao_media,importancia_permutacao_dp
psycotherapy,8.411335892675176e-05,8.238118127413476e-05
to_sleep,7.332959496181846e-05,2.4016582680557167e-05
score_asrs18,4.7448561445850854e-05,2.322893847705852e-05
smile_25,4.529180865285309e-05,2.1459419339750446e-05
gad7_score,4.313505585984423e-05,0.0
scoretot_smile,4.0978303066852016e-05,9.401067470852148e-06
ver_phq,4.0978303066852016e-05,9.401067470852148e-06
touch_obj,4.0978303066852016e-05,9.401067470852148e-06
score_asrs_final,4.0978303066852016e-05,9.401067470852148e-06
hcl_16_score,4.0978303066852016e-05,9.401067470852148e-06
height,4.0978303066852016e-05,9.401067470852148e-06
income,3.8821550273859803e-05,1.2940516757953267e-05
treatment,3.8821550273859803e-05,1.2940516757953267e-05
moving_slowly,3.8821550273859803e-05,1.2940516757953267e-05
alcohol_2,3.8821550273859803e-05,1.2940516757953267e-05
physically_active,3.8821550273859803e-05,1.2940516757953267e-05
stuff_clutter,3.8821550273859803e-05,1.2940516757953267e-05
check_repeared_gas,3.8821550273859803e-05,1.2940516757953267e-05
check_repeatedly,3.8821550273859803e-05,1.2940516757953267e-05
asrs_15,3.8821550273859803e-05,1.2940516757953267e-05
cough_or_snore,3.8821550273859803e-05,1.2940516757953267e-05
mental_disorder_diagnosis,3.66647974809009e-05,4.580244269850909e-05
smile_30,3.66647974808676e-05,1.540229570921377e-05
numbers_good_bad,3.66647974808676e-05,1.540229570921377e-05
repeat_numbers,3.66647974808676e-05,1.540229570921377e-05
feel_cold,3.66647974808676e-05,1.540229570921377e-05
drive_faster,3.66647974808676e-05,1.540229570921377e-05
more_people,3.66647974808676e-05,1.540229570921377e-05
smile_31,3.66647974808676e-05,1.540229570921377e-05
score_social_smile,3.66647974808676e-05,1.540229570921377e-05
asrs_12,3.66647974808676e-05,1.540229570921377e-05
asrs_11,3.66647974808676e-05,1.540229570921377e-05
score_asrs11,3.66647974808676e-05,1.540229570921377e-05
score_asrs_a2,3.66647974808676e-05,1.540229570921377e-05
asrs_2,3.66647974808676e-05,1.540229570921377e-05
score_asrs7,3.66647974808676e-05,1.540229570921377e-05
asrs_4,3.66647974808676e-05,1.540229570921377e-05
asrs_18,3.4508044687875385e-05,1.7254022343937692e-05
asrs_7,3.4508044687875385e-05,1.7254022343937692e-05
sad_depressed,3.4508044687875385e-05,1.7254022343937692e-05
mood_higher,3.4508044687875385e-05,1.7254022343937692e-05
ocir_score,3.4508044687875385e-05,1.7254022343937692e-05
off,3.4508044687875385e-05,1.7254022343937692e-05
asrs_9,3.4508044687875385e-05,1.7254022343937692e-05
weight,3.235129189488317e-05,1.867802708414296e-05
collect_stuff,3.235129189488317e-05,1.8678027084142956e-05
sedatives_1,3.235129189488317e-05,1.867802708414296e-05
age,3.235129189488317e-05,1.867802708414296e-05
interest_pleasure,3.235129189488317e-05,1.867802708414296e-05
year_entered,3.235129189488317e-05,1.8678027084142956e-05
smile_15,3.235129189488317e-05,1.867802708414296e-05
bmi,3.235129189488317e-05,1.867802708414296e-05
check_stuff_often,3.019453910189096e-05,1.9766965858388467e-05
project,3.019453910189096e-05,1.9766965858388467e-05
sexual_orientation,3.019453910189096e-05,1.9766965858388467e-05
no_breathe_comfortably,2.803778630889875e-05,2.057411037000757e-05
smile_34,2.803778630889875e-05,2.057411037000757e-05
nervous,2.803778630889875e-05,2.057411037000757e-05
nervous_anxious,2.803778630889875e-05,2.057411037000757e-05
score_pa_smile,2.803778630889875e-05,2.057411037000757e-05
mental_acts,2.803778630889875e-05,2.057411037000757e-05
score_asrs_b2,2.803778630889875e-05,2.057411037000757e-05
score_food_smile,2.5881033515906537e-05,2.1131775376613574e-05
sleep,2.5881033515906537e-05,2.113177537661357e-05
smile_40,2.5881033515906537e-05,2.1131775376613574e-05
asrs_17,2.5881033515906537e-05,2.113177537661357e-05
stay_disturb_obje_no,2.5881033515906537e-05,2.113177537661357e-05
psqi_score,2.5881033515906537e-05,2.1131775376613574e-05
score_asrs10,2.5881033515906537e-05,2.113177537661357e-05
trouble_concentration,2.5881033515906537e-05,2.113177537661357e-05
feelin_tired,2.3724280722914327e-05,2.145941933971865e-05
ver_gad,2.3724280722914327e-05,2.1459419339718645e-05
score_asrs14,2.3724280722914327e-05,2.1459419339718645e-05
more_colourful,2.3724280722914327e-05,2.145941933971865e-05
score_envir_smile,2.3724280722914327e-05,2.145941933971865e-05
compelled,2.1567527929922115e-05,2.1567527929922115e-05
feeling_bad,2.1567527929922115e-05,2.1567527929922115e-05
asrs_class_a,1.9410775136929902e-05,2.145941933971865e-05
score_asrs_a1,1.9410775136929902e-05,2.1459419339718645e-05
smile_19,1.9410775136929902e-05,2.1459419339718645e-05
sedatives_score,1.9410775136929902e-05,2.145941933971865e-05
want_life,1.9410775136929902e-05,2.145941933971865e-05
medicines,1.9410775136929902e-05,2.145941933971865e-05
more_jokes,1.9410775136929902e-05,2.145941933971865e-05
crack_1,1.7254022343937692e-05,2.1131775376613574e-05
tobacco_score,1.7254022343937692e-05,2.113177537661357e-05
alcohol_score,1.7254022343937692e-05,2.113177537661357e-05
avoid_play_stuff_outside,1.7254022343937692e-05,2.113177537661357e-05
