variavel,n_observado,n_unicos
consent,336,2
age,336,19
sex,335,2
gender_identity,334,3
sexual_orientation,334,5
ethnic_group,334,6
height,327,41
weight,327,89
bmi,323,275
bmi_class,323,4
marital_status,336,3
student_accommodation,334,2
work,334,2
income,312,82
mental_disorder_diagnosis,336,2
mental_disorders___1,336,2
mental_disorders___2,336,2
mental_disorders___3,336,2
mental_disorders___4,336,2
mental_disorders___6,336,2
mental_disorders___7,336,2
mental_disorders___8,336,2
mental_disorders___9,336,2
psycotherapy,336,3
treatment,330,2
other_diseases___1,336,2
other_diseases___2,336,2
other_diseases___4,336,2
other_diseases___5,336,2
other_diseases___6,336,2
other_diseases___7,336,2
other_diseases___9,336,2
other_diseases___10,336,2
other_diseases___11,336,2
other_diseases___12,336,2
other_diseases___13,336,2
other_diseases___14,336,2
other_diseases___15,336,2
other_diseases___16,336,2
coronavirus_infection,336,2
student_of,334,4
year_entered,336,2
smile_2,335,4
smile_3,336,4
smile_5,336,4
smile_8,335,4
smile_9,335,4
smile_10,336,4
smile_11,336,3
smile_12,335,4
smile_13,335,4
smile_15,336,4
smile_17,335,4
smile_19,334,4
smile_25,336,4
smile_27,336,4
smile_28,336,4
smile_30,335,4
smile_31,336,4
smile_32,336,4
smile_34,333,4
smile_37,336,4
smile_40,336,4
smile_41,336,4
smile_42,335,4
smile_43,336,4
score_food_smile,335,10
score_subs_smile,334,11
score_pa_smile,334,10
score_stress_smile,333,7
score_sleep_smile,336,10
score_social_smile,332,14
score_envir_smile,335,12
scoretot_smile,325,36
sedentary_behavior,336,5
sedentary_2,336,5
interest_pleasure,336,5
sad_depressed,336,5
irritated,335,5
to_sleep,335,5
project,332,5
nervous_anxious,334,5
panic_fear,333,5
nervous,334,5
pain,336,5
disease,334,5
hurt_yourself,336,5
hear_sounds,336,5
hear_thoughts,332,5
sleep,334,5
memory_problems,336,5
impulses,333,5
mental_acts,335,5
off,335,5
want_life,334,5
relationship_people,336,5
drink_4,336,5
cigarettes_cigars,336,5
medicines,336,5
ver_phq,336,7
trouble_falling,336,4
feelin_tired,336,4
poor_appetite,336,4
feeling_bad,336,4
trouble_concentration,336,4
moving_slowly,336,4
hurting_yourself,336,4
ver_gad,330,13
being_able_to_stop,326,4
worring,327,4
trouble_relaxing,326,4
restless,327,4
annoyed_irritable,326,4
feeling_afraid,327,4
gad7_score,322,18
gad7_class,325,2
ver_hcl,332,9
less_sleep,237,2
more_energy,240,2
more_sociable,236,2
drive_faster,239,2
more_risks,240,2
physically_active,239,2
more_activities,238,2
more_colourful,240,2
more_people,240,2
talk_more,240,2
more_jokes,238,2
more_distracted,240,2
mood_higher,240,2
more_coffee,238,2
drink_more_alcohol,237,2
more_drugs,239,2
hcl_16_score,225,16
hcl16_class,302,2
ver_psqi,334,5
fall_sleep,242,4
woke_up_mid_night,243,4
bathroom,243,4
no_breathe_comfortably,243,4
cough_or_snore,243,4
feel_cold,243,4
feel_hot,242,4
have_bad_dreams,243,4
have_pain,241,4
psqi_score,225,23
ver_ocir,332,9
stuff_clutter,253,5
check_stuff_often,254,5
stay_disturb_obje_no,253,5
compelled,253,5
touch_obj,253,5
dis_control_think,253,5
collect_stuff,254,5
check_repeatedly,254,5
disturb_people_change,253,5
repeat_numbers,254,5
have_wash_clean,254,5
think_unpleasant,255,5
avoid_play_stuff_outside,255,5
check_repeared_gas,255,5
stuff_be_tidy,254,5
numbers_good_bad,255,5
wash_hands_often,255,5
thought_dingy,255,5
ocir_score,246,59
ocir_class,298,2
ver_assist,336,13
cigarro_eletronico,245,3
tobacco_1,252,2
alcohol_1,252,2
cannabis_1,252,2
crack_1,249,2
amphetamine_1,248,2
inhalants_1,248,2
sedatives_1,251,2
hallucinogens_1,248,2
opioids_1,249,2
other_1,223,2
alcohol_2,239,5
tobacco_score,251,5
alcohol_score,251,5
cannabis_score,251,5
crack_score,248,2
amphetamine_score,248,3
inhalants_score,248,2
sedatives_score,250,5
hallucinogens_score,248,3
opioids_score,249,3
other_score,222,3
class_assist_tabaco,330,2
class_assist_alcohol,330,2
class_assist_canabis,330,2
class_assist_sedatives,329,2
class_assist_other,301,2
anyabuse,295,2
asrs_1,321,5
score_asrs1,321,2
asrs_2,319,5
score_asrs2,319,2
asrs_3,318,5
score_asrs3,318,2
asrs_4,317,5
score_asrs4,317,2
asrs_5,320,5
score_asrs5,320,2
asrs_6,319,5
score_asrs6,319,2
asrs_7,187,5
score_asrs7,187,2
asrs_8,188,4
score_asrs8,188,2
asrs_9,188,5
score_asrs9,188,2
asrs_10,187,5
score_asrs10,187,2
asrs_11,188,5
score_asrs11,188,2
asrs_12,188,5
score_asrs12,188,2
asrs_13,188,5
score_asrs13,188,2
asrs_14,187,5
score_asrs14,187,2
asrs_15,188,5
score_asrs15,188,2
asrs_16,187,5
score_asrs16,187,2
asrs_17,187,5
score_asrs17,187,2
asrs_18,188,5
score_asrs18,188,2
ver_asrs,314,7
score_asrs_a1,315,5
score_asrs_a2,186,6
score_asrs_totala,313,10
score_asrs_b1,318,3
score_asrs_b2,186,8
score_asrs_totalb,316,10
score_asrs_final,310,19
asrs_class_a,313,2
asrs_class_b,316,2
asrs_class_total,310,2
score_suic,336,8
risco_sui_class,336,2
score_psicose,332,9
psicose_class,332,2
